CIUDAD,DEPARTAMENTO
LETICIA,Amazonas
AMALFI,Antioquia
ANDES,Antioquia
APARTADO,Antioquia
BARBOSA,Antioquia
BELLO,Antioquia
CALDAS,Antioquia
CAREPA,Antioquia
CAUCASIA,Antioquia
CHIGORODO,Antioquia
CIUDAD BOLIVAR,Antioquia
COPACABANA,Antioquia
EL CARMEN DE VIBORAL,Antioquia
EL SANTUARIO,Antioquia
ENVIGADO,Antioquia
FRONTINO,Antioquia
GIRARDOTA,Antioquia
GUARNE,Antioquia
ITAGUI,Antioquia
LA CEJA,Antioquia
LA ESTRELLA,Antioquia
MARINILLA,Antioquia
MEDELLIN,Antioquia
PUERTO BERRIO,Antioquia
RIONEGRO,Antioquia
SABANETA,Antioquia
SANTA ROSA DE OSOS,Antioquia
SANTAFE DE ANTIOQUIA,Antioquia
SONSON,Antioquia
TURBO,Antioquia
URRAO,Antioquia
YARUMAL,Antioquia
ARAUCA,Arauca
SARAVENA,Arauca
TAME,Arauca
BARRANQUILLA,Atlantico
GALAPA,Atlantico
PUERTO COLOMBIA,Atlantico
SABANAGRANDE,Atlantico
SOLEDAD,Atlantico
ARJONA,Bolivar
CARTAGENA,Bolivar
EL CARMEN DE BOLIVAR,Bolivar
MAGANGUE,Bolivar
MOMPOS,Bolivar
TURBACO,Bolivar
CHIQUINQUIRA,Boyaca
COMBITA,Boyaca
DUITAMA,Boyaca
GARAGOA,Boyaca
GUATEQUE,Boyaca
MIRAFLORES,Boyaca
MONIQUIRA,Boyaca
NOBSA,Boyaca
PAIPA,Boyaca
PUERTO BOYACA,Boyaca
RAMIRIQUI,Boyaca
SABOYA,Boyaca
SANTA ROSA DE VITERBO,Boyaca
SOATA,Boyaca
SOGAMOSO,Boyaca
TUNJA,Boyaca
VILLA DE LEYVA,Boyaca
AGUADAS,Caldas
ANSERMA,Caldas
ARANZAZU,Caldas
CHINCHINA,Caldas
LA DORADA,Caldas
MANIZALES,Caldas
MANZANARES,Caldas
RIOSUCIO,Caldas
SALAMINA,Caldas
VILLAMARIA,Caldas
EL PAUJIL,Caqueta
FLORENCIA,Caqueta
SAN VICENTE DEL CAGUAN,Caqueta
AGUAZUL,Casanare
YOPAL,Casanare
BOLIVAR,Cauca
CALOTO,Cauca
EL TAMBO,Cauca
MIRANDA,Cauca
PATIA,Cauca
PIENDAMO,Cauca
POPAYAN,Cauca
PUERTO TEJADA,Cauca
SANTANDER DE QUILICHAO,Cauca
TIMBIO,Cauca
AGUACHICA,Cesar
BOSCONIA,Cesar
VALLEDUPAR,Cesar
ISTMINA,Choco
CERETE,Cordoba
CHINU,Cordoba
LA APARTADA,Cordoba
LORICA,Cordoba
MONTERIA,Cordoba
PLANETA RICA,Cordoba
SAHAGUN,Cordoba
BOGOTA, Cundinamarca
CAQUEZA,Cundinamarca
CHIA,Cundinamarca
CHOCONTA,Cundinamarca
COTA,Cundinamarca
EL ROSAL,Cundinamarca
FACATATIVA,Cundinamarca
FUNZA,Cundinamarca
FUSAGASUGA,Cundinamarca
GIRARDOT,Cundinamarca
LA CALERA,Cundinamarca
MOSQUERA,Cundinamarca
PACHO,Cundinamarca
RICAURTE,Cundinamarca
SOACHA,Cundinamarca
UBATE,Cundinamarca
VILLETA,Cundinamarca
ZIPAQUIRA,Cundinamarca
INIRIDA,Guainia
SAN JOSE DEL GUAVIARE,Guaviare
CAMPOALEGRE,Huila
GARZON,Huila
GUADALUPE,Huila
LA PLATA,Huila
NEIVA,Huila
PALERMO,Huila
PITALITO,Huila
RIVERA,Huila
TIMANA,Huila
MAICAO,La Guajira
RIOHACHA,La Guajira
ARACATACA,Magdalena
CIENAGA,Magdalena
EL BANCO,Magdalena
FUNDACION,Magdalena
PLATO,Magdalena
SANTA MARTA,Magdalena
ACACIAS,Meta
GRANADA,Meta
GUAMAL,Meta
RESTREPO,Meta
VILLAVICENCIO,Meta
BUESACO,Narino
GUACHUCAL,Narino
IMUES,Narino
IPIALES,Narino
LA UNION LA UNION,Narino
NARINO,Narino
PASTO,Narino
PUPIALES,Narino
SAMANIEGO,Narino
SANDONA,Narino
SANDONA SANDONA,Narino
TUMACO,Narino
TUQUERRES,Narino
CONVENCION,Norte de Santander
CUCUTA,Norte de Santander
EL ZULIA,Norte de Santander
LOS PATIOS,Norte de Santander
OCANA,Norte de Santander
PAMPLONA,Norte de Santander
VILLA DEL ROSARIO,Norte de Santander
SAN ANDRES, Archipielago de San Andres Providencia
MOCOA,Putumayo
ORITO,Putumayo
PUERTO ASIS,Putumayo
VALLE DEL GUAMUEZ,Putumayo
ARMENIA,Quindio
CALARCA,Quindio
CIRCASIA,Quindio
LA TEBAIDA,Quindio
QUIMBAYA,Quindio
DOSQUEBRADAS,Risaralda
LA VIRGINIA,Risaralda
PEREIRA,Risaralda
SANTA ROSA DE CABAL,Risaralda
BARBOSA,Santander
BARRANCABERMEJA,Santander
BUCARAMANGA,Santander
CHARALA,Santander
FLORIDABLANCA,Santander
GIRON,Santander
MALAGA,Santander
PIEDECUESTA,Santander
SAN GIL,Santander
SAN VICENTE DE CHUCURI,Santander
SOCORRO,Santander
VELEZ,Santander
COROZAL,Sucre
SAMPUES,Sucre
SINCELEJO,Sucre
ALVARADO,Tolima
ARMERO,Tolima
CHAPARRAL,Tolima
ESPINAL,Tolima
FRESNO,Tolima
GUAMO,Tolima
HONDA,Tolima
IBAGUE,Tolima
LIBANO,Tolima
MARIQUITA,Tolima
MELGAR,Tolima
PURIFICACION,Tolima
ANDALUCIA,Valle del Cauca
BUENAVENTURA,Valle del Cauca
CAICEDONIA,Valle del Cauca
CALI,Valle del Cauca
CANDELARIA,Valle del Cauca
CARTAGO,Valle del Cauca
EL CERRITO,Valle del Cauca
FLORIDA,Valle del Cauca
GUACARI,Valle del Cauca
GUADALAJARA DE BUGA,Valle del Cauca
JAMUNDI,Valle del Cauca
LA UNION,Valle del Cauca
PALMIRA,Valle del Cauca
PRADERA,Valle del Cauca
ROLDANILLO,Valle del Cauca
SEVILLA,Valle del Cauca
TULUA,Valle del Cauca
YUMBO,Valle del Cauca
ZARZAL,Valle del Cauca
